idx,model,dataset,is_correct,word_count,wait_count,token_diversity,token_diversity_last_2k,has_boxed_answer,gibberish_count,repeated_char_count
0,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,10915,211,0.0950984883188273,0.017,False,6,0
1,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,25215,825,0.02343842950624628,0.004,False,0,0
2,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,20162,163,0.021823231822239858,0.0355,False,3,0
3,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,19683,277,0.033175837016714935,0.045,False,2,0
4,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,True,2827,91,0.26317651220374955,0.2905,True,1,0
5,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,7132,700,0.23766124509254066,0.217,False,5,0
6,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,17712,2775,0.0346093044263776,0.0005,False,0,4
7,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,5157,125,0.1171223579600543,0.0985,False,2,0
8,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,18781,4135,0.0482934880996752,0.021,False,125,0
9,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,17467,4082,0.04013282189271197,0.0035,False,2,0
10,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,True,1338,13,0.26831091180866967,0.26831091180866967,True,1,0
11,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,24098,1459,0.020665615403767948,0.042,False,4,4
12,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,11906,1202,0.030236855367041827,0.008,False,4,0
13,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,14948,311,0.042346802247792345,0.077,False,5,8
14,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,25392,1589,0.028867359798361688,0.0285,False,15,0
15,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,25408,889,0.017592884130982367,0.0105,False,2,0
16,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,27396,692,0.01865235800846839,0.0265,False,0,0
17,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,10917,280,0.053494549784739394,0.065,False,2,3
18,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,14282,2586,0.055314381739252204,0.0015,False,3,0
19,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,21398,610,0.02215160295354706,0.029,False,3,7
20,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,10863,670,0.024026512013256007,0.005,False,5,4
21,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,21381,6679,0.013797296665263551,0.0025,False,1,0
22,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,17505,150,0.031248214795772635,0.0005,False,22,1
23,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,16824,870,0.03774369947693771,0.008,False,2,7
24,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,19257,1143,0.04959235602638002,0.0185,False,11,0
25,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,16552,7455,0.033832769453842435,0.0025,False,669,5
26,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,True,1908,13,0.17767295597484276,0.17767295597484276,True,1,0
27,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,10269,65,0.029408900574544747,0.0015,False,6,0
28,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,27585,1034,0.013159325720500272,0.009,False,1,0
29,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,22234,755,0.01951965458307097,0.0055,False,3,9
30,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,15397,3941,0.07871663311034617,0.016,False,8,0
31,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,23563,3346,0.01824894962441115,0.008,False,2,4
32,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,11285,437,0.06318121400088614,0.0375,False,1,1
33,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,26606,911,0.012064947756145231,0.013,False,2,0
34,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,21850,754,0.02677345537757437,0.038,False,0,0
35,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,14290,313,0.06459062281315606,0.0655,False,19,6
36,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,19046,1412,0.017326472750183765,0.003,False,0,0
37,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,22256,984,0.024397915168943206,0.0145,False,6,0
38,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,True,17319,144,0.029100987354928113,0.008,False,1,0
39,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,17687,8533,0.03573245886809521,0.016,False,3,0
40,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,20253,155,0.03466153162494445,0.005,False,26,20
41,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,6438,202,0.11602982292637465,0.128,True,0,0
42,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,17903,1652,0.027481427693682624,0.038,False,4,10
43,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,20118,35,0.021870961328163834,0.0025,False,4,3
44,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,17132,272,0.04331076348353957,0.079,False,7,0
45,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,25465,820,0.01268407618299627,0.009,False,2,11
46,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,21247,707,0.03699345789993882,0.0255,False,4,0
47,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,15642,230,0.08521928142181306,0.0015,False,3,0
48,DeepSeek-R1-Distill-Qwen-1.5B-awq-w3g128-tp1,AIME-90,False,19567,1111,0.0363366893238616,0.039,False,2,0
