idx,model,dataset,is_correct,word_count,wait_count,token_diversity,token_diversity_last_2k,has_boxed_answer,gibberish_count,repeated_char_count
0,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,True,5579,98,0.10467825775228536,0.175,True,64,0
1,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,True,723,0,0.35131396957123096,0.35131396957123096,True,2,0
2,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,True,924,3,0.3106060606060606,0.3106060606060606,True,4,0
3,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,False,18216,188,0.0838274044795784,0.0205,False,5,0
4,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,True,572,3,0.3811188811188811,0.3811188811188811,True,1,0
5,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,True,607,1,0.3163097199341021,0.3163097199341021,True,3,0
6,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,True,1015,4,0.3852216748768473,0.3852216748768473,True,1,0
7,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,True,678,2,0.35693215339233036,0.35693215339233036,True,2,0
8,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,True,665,1,0.31278195488721805,0.31278195488721805,True,2,0
9,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,True,1378,2,0.23294629898403482,0.23294629898403482,True,2,0
10,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,False,2276,38,0.23374340949033393,0.2435,True,1,0
11,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,True,1750,11,0.31885714285714284,0.31885714285714284,True,3,0
12,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,True,1509,14,0.3426110006626905,0.3426110006626905,True,1,0
13,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,True,1542,2,0.20557717250324253,0.20557717250324253,True,3,0
14,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,True,875,3,0.21142857142857144,0.21142857142857144,True,1,0
15,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,True,1131,7,0.259946949602122,0.259946949602122,True,2,0
16,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,True,768,2,0.2890625,0.2890625,True,1,0
17,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,True,2584,22,0.21594427244582043,0.2315,True,4,0
18,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,False,3565,30,0.1208976157082749,0.149,True,3,0
19,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,True,2646,28,0.17044595616024188,0.1875,True,1,0
20,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,True,794,3,0.2947103274559194,0.2947103274559194,True,1,0
21,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,True,2270,29,0.2757709251101322,0.301,True,7,0
22,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,True,816,3,0.3431372549019608,0.3431372549019608,True,2,0
23,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,True,1680,18,0.23273809523809524,0.23273809523809524,True,2,0
24,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,True,4782,54,0.13864491844416563,0.199,True,7,0
25,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,True,1764,19,0.23299319727891157,0.23299319727891157,True,4,0
26,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,True,1439,10,0.2758860319666435,0.2758860319666435,True,2,0
27,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,True,1699,10,0.24896998234255444,0.24896998234255444,True,2,0
28,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,True,2445,7,0.19427402862985685,0.215,True,1,0
29,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,True,1895,22,0.23007915567282322,0.23007915567282322,True,3,0
30,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,True,2522,35,0.2632831086439334,0.288,True,3,0
31,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,True,1952,22,0.20799180327868852,0.20799180327868852,True,4,0
32,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,True,1590,20,0.25157232704402516,0.25157232704402516,True,1,0
33,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,False,10958,158,0.08459572914765467,0.1305,True,15,0
34,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,True,594,1,0.3552188552188552,0.3552188552188552,True,1,0
35,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,True,1693,8,0.2923803898405198,0.2923803898405198,True,5,0
36,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,True,1014,4,0.3067061143984221,0.3067061143984221,True,1,0
37,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,True,3229,27,0.18519665531124188,0.2265,True,12,0
38,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,True,796,5,0.2964824120603015,0.2964824120603015,True,2,0
39,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,False,18861,126,0.039181379566300835,0.049,True,5,0
40,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,False,7827,135,0.11996933691069375,0.2325,True,16,0
41,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,False,9789,1102,0.06354070895903566,0.0015,False,5,4
42,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,False,6145,66,0.10626525630593979,0.2165,True,4,0
43,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,False,8291,90,0.11096369557351345,0.235,True,10,0
44,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,True,678,1,0.336283185840708,0.336283185840708,True,3,0
45,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,True,4345,28,0.15051783659378595,0.207,True,6,0
46,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,True,1073,4,0.22833178005591798,0.22833178005591798,True,2,0
47,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,True,2086,26,0.22099712368168745,0.2215,True,4,0
48,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,True,768,2,0.3997395833333333,0.3997395833333333,True,1,0
49,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,True,3647,37,0.21497120921305182,0.237,True,11,0
50,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,MATH-500,True,4817,27,0.10670541831015155,0.1615,True,0,0
