idx,model,dataset,is_correct,word_count,wait_count,token_diversity,token_diversity_last_2k,has_boxed_answer,gibberish_count,repeated_char_count
0,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,AIME-90,False,5996,78,0.17128085390260173,0.253,True,13,0
1,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,AIME-90,False,13168,216,0.09583839611178614,0.1035,True,13,0
2,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,AIME-90,False,6390,62,0.1541471048513302,0.27,True,3,0
3,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,AIME-90,False,11451,182,0.10540564142869618,0.1595,True,7,0
4,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,AIME-90,True,1084,2,0.34686346863468637,0.34686346863468637,True,2,0
5,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,AIME-90,False,9210,145,0.17741585233441912,0.2795,True,6,0
6,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,AIME-90,True,3151,34,0.16407489685814028,0.1935,True,2,0
7,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,AIME-90,False,11221,191,0.11300240620265574,0.2015,True,1,0
8,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,AIME-90,False,3424,43,0.17844626168224298,0.191,True,4,0
9,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,AIME-90,False,15315,262,0.09324191968658178,0.1585,True,7,0
10,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,AIME-90,True,928,5,0.3135775862068966,0.3135775862068966,True,1,0
11,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,AIME-90,False,2615,31,0.17208413001912046,0.166,True,5,0
12,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,AIME-90,True,1344,24,0.25669642857142855,0.25669642857142855,True,4,0
13,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,AIME-90,False,7506,121,0.09938715694111377,0.158,True,1,0
14,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,AIME-90,False,12211,145,0.1255425436082221,0.167,True,7,0
15,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,AIME-90,False,14926,357,0.1303765241859842,0.227,False,1,0
16,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,AIME-90,False,4737,63,0.13932868904369855,0.1815,True,6,0
17,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,AIME-90,False,5960,89,0.2105704697986577,0.3375,True,5,0
18,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,AIME-90,False,10461,67,0.11996941019023039,0.121,True,2,0
19,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,AIME-90,False,11626,136,0.08833648718389817,0.166,True,3,0
20,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,AIME-90,False,3949,48,0.21372499366928335,0.262,True,8,0
21,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,AIME-90,True,4317,84,0.14269168403984248,0.209,True,1,0
22,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,AIME-90,False,13683,36,0.04838120295256888,0.0145,False,10,0
23,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,AIME-90,False,7213,85,0.1260224594482185,0.192,True,2,0
24,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,AIME-90,False,11030,67,0.12076155938349954,0.2445,True,7,0
25,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,AIME-90,False,12922,209,0.11484290357529794,0.197,True,7,0
26,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,AIME-90,True,1209,8,0.29942100909842845,0.29942100909842845,True,4,0
27,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,AIME-90,False,5735,90,0.10897994768962511,0.1755,True,5,0
28,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,AIME-90,False,4495,70,0.15483870967741936,0.216,True,9,0
29,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,AIME-90,False,8679,83,0.10657909897453624,0.181,True,7,0
30,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,AIME-90,False,6758,73,0.214560520864161,0.283,True,15,0
31,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,AIME-90,False,8405,126,0.09541939321832242,0.1635,True,2,0
32,DeepSeek-R1-Distill-Qwen-1.5B-gptq-w4g128-tp1,AIME-90,False,4807,48,0.15290201789057625,0.235,True,1,0
