idx,model,dataset,is_correct,word_count,wait_count,token_diversity,token_diversity_last_2k,has_boxed_answer,gibberish_count,repeated_char_count
0,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,MATH-500,True,4790,108,0.13277661795407097,0.2075,True,13,0
1,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,MATH-500,True,1012,0,0.2875494071146245,0.2875494071146245,True,1,0
2,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,MATH-500,True,928,3,0.3265086206896552,0.3265086206896552,True,1,0
3,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,MATH-500,False,21013,211,0.04763717698567554,0.043,False,7,0
4,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,MATH-500,True,915,5,0.33114754098360655,0.33114754098360655,True,1,0
5,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,MATH-500,True,2972,26,0.14434724091520862,0.1655,True,7,0
6,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,MATH-500,True,849,2,0.28975265017667845,0.28975265017667845,True,1,0
7,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,MATH-500,True,1260,13,0.3333333333333333,0.3333333333333333,True,2,0
8,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,MATH-500,True,1356,4,0.252212389380531,0.252212389380531,True,4,0
9,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,MATH-500,True,4048,22,0.13463438735177866,0.1775,True,2,6
10,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,MATH-500,False,2583,36,0.2086720867208672,0.22,True,3,0
11,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,MATH-500,True,1114,2,0.33303411131059246,0.33303411131059246,True,2,0
12,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,MATH-500,True,3301,65,0.18600424113904876,0.198,True,5,0
13,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,MATH-500,True,1472,4,0.19293478260869565,0.19293478260869565,True,2,0
14,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,MATH-500,True,1123,7,0.2404274265360641,0.2404274265360641,True,1,0
