idx,model,dataset,is_correct,word_count,wait_count,token_diversity,token_diversity_last_2k,has_boxed_answer,gibberish_count,repeated_char_count
0,DeepSeek-R1-Distill-Qwen-1.5B,MATH-500,True,3813,56,0.1862050878573302,0.257,True,16,0
1,DeepSeek-R1-Distill-Qwen-1.5B,MATH-500,True,1237,2,0.2562651576394503,0.2562651576394503,True,1,0
2,DeepSeek-R1-Distill-Qwen-1.5B,MATH-500,True,1128,5,0.28368794326241137,0.28368794326241137,True,2,0
3,DeepSeek-R1-Distill-Qwen-1.5B,MATH-500,False,12036,183,0.11266201395812563,0.2225,True,7,0
4,DeepSeek-R1-Distill-Qwen-1.5B,MATH-500,True,761,3,0.3311432325886991,0.3311432325886991,True,1,0
5,DeepSeek-R1-Distill-Qwen-1.5B,MATH-500,True,1401,7,0.24339757316202712,0.24339757316202712,True,2,0
6,DeepSeek-R1-Distill-Qwen-1.5B,MATH-500,True,1200,4,0.275,0.275,True,1,0
7,DeepSeek-R1-Distill-Qwen-1.5B,MATH-500,True,714,1,0.42857142857142855,0.42857142857142855,True,3,0
8,DeepSeek-R1-Distill-Qwen-1.5B,MATH-500,True,503,2,0.36381709741550694,0.36381709741550694,True,2,0
9,DeepSeek-R1-Distill-Qwen-1.5B,MATH-500,True,6891,80,0.14337541721085473,0.214,True,6,0
10,DeepSeek-R1-Distill-Qwen-1.5B,MATH-500,False,1551,8,0.26305609284332687,0.26305609284332687,True,1,0
11,DeepSeek-R1-Distill-Qwen-1.5B,MATH-500,True,896,2,0.31808035714285715,0.31808035714285715,True,1,0
12,DeepSeek-R1-Distill-Qwen-1.5B,MATH-500,False,7001,117,0.132981002713898,0.122,True,4,0
13,DeepSeek-R1-Distill-Qwen-1.5B,MATH-500,True,1170,3,0.2863247863247863,0.2863247863247863,True,2,0
14,DeepSeek-R1-Distill-Qwen-1.5B,MATH-500,True,685,2,0.24233576642335766,0.24233576642335766,True,1,0
