idx,model,dataset,is_correct,word_count,wait_count,token_diversity,token_diversity_last_2k,has_boxed_answer,gibberish_count,repeated_char_count
0,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,AIME-90,False,11674,178,0.10270686996744903,0.159,True,14,0
1,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,AIME-90,True,2402,17,0.208992506244796,0.2305,True,1,0
2,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,AIME-90,False,14298,90,0.06868093439641908,0.007,False,2,0
3,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,AIME-90,False,14171,170,0.06887305059628819,0.109,True,2,0
4,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,AIME-90,True,1989,15,0.2865761689291101,0.2865761689291101,True,4,0
5,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,AIME-90,True,5175,40,0.15478260869565216,0.2185,True,2,1
6,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,AIME-90,False,8406,129,0.13621222935998098,0.217,True,1,0
7,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,AIME-90,False,10900,170,0.09779816513761468,0.146,True,1,0
8,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,AIME-90,False,10871,86,0.1311746849415877,0.175,True,19,0
9,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,AIME-90,False,9044,162,0.13124723573639982,0.229,True,6,0
10,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,AIME-90,True,801,1,0.3046192259675406,0.3046192259675406,True,0,0
11,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,AIME-90,False,10843,200,0.08281840818961542,0.1455,True,7,0
12,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,AIME-90,True,3123,11,0.20300992635286583,0.2455,True,11,0
13,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,AIME-90,False,7397,118,0.09111802081925105,0.1305,True,1,0
14,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,AIME-90,False,14072,272,0.06587549744172826,0.167,True,8,0
15,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,AIME-90,False,21621,118,0.0418574534017853,0.016,False,3,0
16,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,AIME-90,False,10675,155,0.08430913348946135,0.1965,True,6,0
17,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,AIME-90,False,14488,124,0.10546659304251794,0.007,False,13,0
18,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,AIME-90,False,7188,1405,0.12340011129660546,0.046,True,5,0
19,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,AIME-90,False,10149,196,0.09045226130653267,0.1655,True,0,0
20,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,AIME-90,False,9767,164,0.12214600184294051,0.2715,True,7,2
21,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,AIME-90,False,13662,439,0.0672668716146977,0.107,True,9,0
22,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,AIME-90,True,5605,57,0.15450490633363068,0.2345,True,11,0
23,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,AIME-90,False,15316,172,0.07730477931574824,0.2545,True,2,0
24,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,AIME-90,False,14398,266,0.11543269898597028,0.252,True,9,0
25,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,AIME-90,False,5581,57,0.17434151585737323,0.2565,True,9,0
26,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,AIME-90,True,1625,4,0.24307692307692308,0.24307692307692308,True,2,0
27,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,AIME-90,True,3896,60,0.12114989733059549,0.1775,True,3,0
28,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,AIME-90,False,10294,108,0.10442976491159899,0.1925,True,2,0
29,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,AIME-90,False,10971,206,0.12724455382371708,0.2205,True,11,0
30,DeepSeek-R1-Distill-Qwen-1.5B-awq-w4g128-tp1,AIME-90,False,9941,229,0.13177748717432855,0.2125,True,14,0
