idx,model,dataset,is_correct,word_count,wait_count,token_diversity,token_diversity_last_2k,has_boxed_answer,gibberish_count,repeated_char_count
0,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,6378,97,0.132173095014111,0.216,True,26,0
1,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,1038,4,0.28998073217726394,0.28998073217726394,True,1,0
2,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,771,3,0.364461738002594,0.364461738002594,True,2,0
3,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,6293,63,0.15604640076275225,0.2425,True,5,0
4,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,591,3,0.3976311336717428,0.3976311336717428,True,1,0
5,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,690,1,0.33768115942028987,0.33768115942028987,True,1,0
6,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,1467,10,0.2038173142467621,0.2038173142467621,True,1,0
7,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,738,2,0.37398373983739835,0.37398373983739835,True,2,0
8,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,733,2,0.286493860845839,0.286493860845839,True,3,0
9,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,3851,15,0.14359906517787588,0.1995,True,1,0
10,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,False,5146,68,0.1136805285658764,0.155,True,4,0
11,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,773,1,0.32341526520051744,0.32341526520051744,True,3,0
12,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,2642,51,0.2800908402725208,0.286,True,5,0
13,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,882,3,0.2766439909297052,0.2766439909297052,True,1,0
14,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,1250,8,0.2344,0.2344,True,2,0
15,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,981,3,0.28644240570846075,0.28644240570846075,True,2,0
16,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,1552,13,0.20682989690721648,0.20682989690721648,True,1,0
17,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,13001,178,0.08583955080378432,0.174,True,5,0
18,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,False,5751,104,0.08294209702660407,0.113,True,0,0
19,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,1975,9,0.27645569620253163,0.27645569620253163,True,1,0
20,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,823,1,0.30133657351154314,0.30133657351154314,True,1,0
21,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,1555,10,0.2823151125401929,0.2823151125401929,True,1,0
22,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,1449,4,0.32091097308488614,0.32091097308488614,True,3,0
23,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,5235,78,0.11174785100286533,0.173,True,0,0
24,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,1054,2,0.3387096774193548,0.3387096774193548,True,1,0
25,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,5848,158,0.09336525307797537,0.1495,True,0,0
26,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,2356,11,0.23684210526315788,0.253,True,2,0
27,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,False,7576,105,0.13067581837381204,0.175,True,5,0
28,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,8155,132,0.12213366033108522,0.1975,True,4,0
29,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,993,17,0.3293051359516616,0.3293051359516616,True,4,0
30,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,4067,60,0.2382591590853209,0.3155,True,7,0
31,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,3271,49,0.18281870987465607,0.2145,True,4,0
32,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,3571,69,0.20078409409129094,0.233,True,6,0
33,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,6872,84,0.11335855646100117,0.2335,True,13,0
34,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,761,2,0.3272010512483574,0.3272010512483574,True,1,0
35,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,False,7926,149,0.1507696189755236,0.2225,True,6,0
36,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,840,4,0.3345238095238095,0.3345238095238095,True,1,0
37,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,2824,20,0.17351274787535412,0.1985,True,9,0
38,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,1102,3,0.25862068965517243,0.25862068965517243,True,1,0
39,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,4941,93,0.15057680631451123,0.2105,True,10,0
40,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,3594,40,0.1669449081803005,0.2265,True,14,0
41,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,False,9914,1018,0.06324389751866048,0.023,False,3,0
42,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,False,7993,107,0.08795195796321782,0.1735,True,2,0
43,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,4898,77,0.15271539403838302,0.2185,True,7,0
44,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,981,3,0.3506625891946993,0.3506625891946993,True,4,0
45,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,4445,30,0.1484814398200225,0.2045,True,9,0
46,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,1651,17,0.16777710478497881,0.16777710478497881,True,4,0
47,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,False,1793,7,0.26993865030674846,0.26993865030674846,True,6,0
48,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,3759,33,0.17823889332269222,0.228,True,1,0
49,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,2679,30,0.2620380739081747,0.3015,True,7,6
50,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,4084,15,0.12438785504407443,0.1605,True,1,0
51,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,False,8392,111,0.24201620591039086,0.275,True,12,0
52,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,4990,43,0.11102204408817636,0.142,True,5,1
53,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,False,13529,212,0.10104220563234534,0.2765,True,24,0
54,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,2201,29,0.22898682417083144,0.234,True,1,0
55,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,679,1,0.31075110456553756,0.31075110456553756,True,2,0
56,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,1172,1,0.2815699658703072,0.2815699658703072,True,1,0
57,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,1413,13,0.21939136588818117,0.21939136588818117,True,3,0
58,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,False,3452,47,0.1190614136732329,0.1525,True,1,0
59,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,False,1108,3,0.3194945848375451,0.3194945848375451,True,5,0
60,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,1803,15,0.2540210759844703,0.2540210759844703,True,1,0
61,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,745,3,0.37986577181208053,0.37986577181208053,True,2,0
62,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,994,5,0.32193158953722334,0.32193158953722334,True,3,0
63,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,868,1,0.33410138248847926,0.33410138248847926,True,3,0
64,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,932,4,0.34120171673819744,0.34120171673819744,True,2,0
65,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,1335,3,0.2104868913857678,0.2104868913857678,True,1,0
66,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,1240,3,0.2991935483870968,0.2991935483870968,True,2,0
67,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,4885,50,0.19058341862845446,0.232,True,1,0
68,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,482,2,0.35269709543568467,0.35269709543568467,True,1,0
69,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,1161,6,0.2876830318690784,0.2876830318690784,True,2,0
70,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,False,5897,78,0.16533830761404103,0.2695,True,7,0
71,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,974,5,0.28234086242299794,0.28234086242299794,True,2,0
72,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,2003,4,0.19520718921617575,0.1945,True,2,0
73,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,False,12564,114,0.1378541865647883,0.219,True,14,0
74,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,1217,7,0.2621199671322925,0.2621199671322925,True,5,0
75,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,2146,10,0.27632805219012113,0.2845,True,1,0
76,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,1232,7,0.30844155844155846,0.30844155844155846,True,4,0
77,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,925,2,0.2583783783783784,0.2583783783783784,True,2,0
78,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,7864,144,0.13784333672431331,0.2435,True,18,0
79,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,1715,8,0.27638483965014576,0.27638483965014576,True,1,0
80,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,False,11264,130,0.208984375,0.3935,False,9,0
81,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,1400,4,0.2785714285714286,0.2785714285714286,True,1,0
82,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,439,2,0.47380410022779046,0.47380410022779046,True,2,0
83,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,False,3563,39,0.1094583216390682,0.138,True,5,0
84,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,5086,90,0.12544239087691703,0.178,True,2,0
85,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,False,14122,182,0.08369919274890242,0.156,True,10,0
86,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,625,1,0.3664,0.3664,True,2,0
87,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,1366,9,0.28257686676427524,0.28257686676427524,True,4,0
88,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,829,1,0.3365500603136309,0.3365500603136309,True,3,0
89,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,5489,101,0.1286208781198761,0.2005,True,3,0
90,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,857,1,0.40606767794632437,0.40606767794632437,True,2,0
91,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,False,7111,52,0.16256504007875122,0.241,True,20,0
92,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,1087,4,0.3376264949402024,0.3376264949402024,True,2,0
93,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,1477,16,0.25863236289776576,0.25863236289776576,True,1,0
94,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,586,1,0.36177474402730375,0.36177474402730375,True,2,0
95,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,878,1,0.26879271070615035,0.26879271070615035,True,1,0
96,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,False,11467,295,0.061829597976803,0.1465,True,14,0
97,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,3121,27,0.21659724447292533,0.2155,True,4,0
98,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,2195,9,0.2533029612756264,0.267,True,0,0
99,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,1957,15,0.22483392948390393,0.22483392948390393,True,2,0
100,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,2814,15,0.1872778962331201,0.2085,True,4,0
101,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,555,2,0.38738738738738737,0.38738738738738737,True,1,0
102,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,641,1,0.36973478939157567,0.36973478939157567,True,2,0
103,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,1384,7,0.2846820809248555,0.2846820809248555,True,2,0
104,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,1034,1,0.2572533849129594,0.2572533849129594,True,2,0
105,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,6638,91,0.11449231696294064,0.218,True,4,0
106,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,799,3,0.3504380475594493,0.3504380475594493,True,2,0
107,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,794,5,0.3224181360201511,0.3224181360201511,True,2,0
108,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,3537,50,0.17387616624257846,0.232,True,4,0
109,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,867,3,0.34486735870818913,0.34486735870818913,True,1,0
110,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,699,1,0.36337625178826893,0.36337625178826893,True,2,0
111,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,False,10873,93,0.10641037432171434,0.202,True,7,0
112,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,2064,15,0.19912790697674418,0.201,True,6,0
113,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,594,1,0.32154882154882153,0.32154882154882153,True,1,0
114,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,1534,4,0.3246414602346806,0.3246414602346806,True,3,0
115,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,2286,8,0.157917760279965,0.165,True,1,0
116,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,False,4395,21,0.23185437997724687,0.2895,True,4,0
117,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,False,15709,1031,0.08039977083200713,0.142,False,6,0
118,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,846,1,0.375886524822695,0.375886524822695,True,1,0
119,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,1148,1,0.23954703832752614,0.23954703832752614,True,1,0
120,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,794,4,0.42065491183879095,0.42065491183879095,True,4,0
121,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,7331,126,0.1181284954303642,0.1755,True,0,0
122,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,3294,17,0.12264723740133576,0.128,True,1,0
123,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,674,3,0.40801186943620177,0.40801186943620177,True,2,0
124,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,946,6,0.32452431289640593,0.32452431289640593,True,1,0
125,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,6043,82,0.1914611947708092,0.273,True,14,0
126,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,3393,51,0.18066607721780137,0.2435,True,2,0
127,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,1372,10,0.2849854227405248,0.2849854227405248,True,4,0
128,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,453,1,0.3068432671081678,0.3068432671081678,True,1,0
129,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,False,1629,9,0.2222222222222222,0.2222222222222222,True,1,0
130,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,547,1,0.23948811700182815,0.23948811700182815,True,1,0
131,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,1296,11,0.30478395061728397,0.30478395061728397,True,2,0
132,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,False,11603,83,0.09118331466000172,0.1165,True,6,0
133,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,386,1,0.43005181347150256,0.43005181347150256,True,2,0
134,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,776,3,0.3015463917525773,0.3015463917525773,True,2,0
135,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,3513,58,0.11528608027327071,0.149,True,8,0
136,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,457,1,0.40919037199124725,0.40919037199124725,True,1,0
137,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,751,1,0.34620505992010653,0.34620505992010653,True,1,0
138,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,7059,131,0.1321716957076073,0.19,True,29,0
139,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,634,1,0.3391167192429022,0.3391167192429022,True,2,0
140,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,847,3,0.3955135773317591,0.3955135773317591,True,3,0
141,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,808,4,0.3972772277227723,0.3972772277227723,True,3,0
142,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,965,4,0.2559585492227979,0.2559585492227979,True,3,0
143,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,1898,11,0.30505795574288724,0.30505795574288724,True,2,2
144,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,910,2,0.310989010989011,0.310989010989011,True,1,0
145,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,719,2,0.3463143254520167,0.3463143254520167,True,1,0
146,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,914,6,0.30087527352297594,0.30087527352297594,True,4,0
147,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,1013,5,0.2675222112537019,0.2675222112537019,True,1,0
148,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,1922,21,0.23777315296566076,0.23777315296566076,True,3,0
149,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,False,6477,93,0.15068704647213216,0.2215,True,4,0
150,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,1214,5,0.2701812191103789,0.2701812191103789,True,1,0
151,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,6328,95,0.1125158027812895,0.1845,True,9,0
152,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,5180,81,0.1913127413127413,0.259,True,6,0
153,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,709,2,0.36812411847672777,0.36812411847672777,True,1,0
154,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,1083,6,0.27146814404432135,0.27146814404432135,True,6,0
155,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,MATH-500,True,531,1,0.4105461393596987,0.4105461393596987,True,1,0
