idx,model,dataset,is_correct,word_count,wait_count,token_diversity,token_diversity_last_2k,has_boxed_answer,gibberish_count,repeated_char_count
0,DeepSeek-R1-Distill-Qwen-1.5B,AIME-90,False,11401,144,0.13595298658012456,0.1895,True,17,0
1,DeepSeek-R1-Distill-Qwen-1.5B,AIME-90,True,6641,61,0.11383827736786628,0.219,True,2,0
2,DeepSeek-R1-Distill-Qwen-1.5B,AIME-90,False,17202,170,0.07068945471456807,0.014,False,2,0
3,DeepSeek-R1-Distill-Qwen-1.5B,AIME-90,False,10752,165,0.09998139880952381,0.1955,True,5,0
4,DeepSeek-R1-Distill-Qwen-1.5B,AIME-90,True,2909,26,0.2591955998624957,0.2995,True,6,0
5,DeepSeek-R1-Distill-Qwen-1.5B,AIME-90,False,7821,92,0.26416059327451735,0.45,True,4,0
6,DeepSeek-R1-Distill-Qwen-1.5B,AIME-90,False,2350,10,0.2251063829787234,0.249,True,3,0
7,DeepSeek-R1-Distill-Qwen-1.5B,AIME-90,False,7746,88,0.11386522075910147,0.174,True,3,0
8,DeepSeek-R1-Distill-Qwen-1.5B,AIME-90,True,2695,10,0.20482374768089054,0.2045,True,4,0
9,DeepSeek-R1-Distill-Qwen-1.5B,AIME-90,False,11251,282,0.13349924451159897,0.292,True,21,0
10,DeepSeek-R1-Distill-Qwen-1.5B,AIME-90,True,920,2,0.3065217391304348,0.3065217391304348,True,0,0
11,DeepSeek-R1-Distill-Qwen-1.5B,AIME-90,False,9060,151,0.08774834437086093,0.167,True,4,0
12,DeepSeek-R1-Distill-Qwen-1.5B,AIME-90,True,2926,38,0.28161312371838687,0.3295,True,22,0
13,DeepSeek-R1-Distill-Qwen-1.5B,AIME-90,False,9117,109,0.20620818251617856,0.324,False,8,0
14,DeepSeek-R1-Distill-Qwen-1.5B,AIME-90,False,17829,285,0.10544618318469909,0.16,False,15,0
15,DeepSeek-R1-Distill-Qwen-1.5B,AIME-90,True,2038,12,0.2296368989205103,0.233,True,2,0
16,DeepSeek-R1-Distill-Qwen-1.5B,AIME-90,False,11545,157,0.1014291901255955,0.2075,True,7,0
17,DeepSeek-R1-Distill-Qwen-1.5B,AIME-90,False,13646,196,0.13058771801260444,0.1665,False,14,3
18,DeepSeek-R1-Distill-Qwen-1.5B,AIME-90,False,6733,143,0.30239120748551906,0.373,True,16,0
19,DeepSeek-R1-Distill-Qwen-1.5B,AIME-90,False,6055,46,0.13047068538398018,0.2145,True,1,0
20,DeepSeek-R1-Distill-Qwen-1.5B,AIME-90,False,10714,102,0.12320328542094455,0.259,True,12,0
21,DeepSeek-R1-Distill-Qwen-1.5B,AIME-90,False,13584,419,0.07744405182567726,0.0905,True,9,0
22,DeepSeek-R1-Distill-Qwen-1.5B,AIME-90,True,2024,10,0.2544466403162055,0.2565,True,4,0
23,DeepSeek-R1-Distill-Qwen-1.5B,AIME-90,False,6272,23,0.11989795918367346,0.1835,True,3,0
24,DeepSeek-R1-Distill-Qwen-1.5B,AIME-90,False,16172,267,0.13041058619836754,0.1935,True,15,0
25,DeepSeek-R1-Distill-Qwen-1.5B,AIME-90,False,8752,167,0.19709780621572212,0.263,True,1,0
26,DeepSeek-R1-Distill-Qwen-1.5B,AIME-90,True,1121,2,0.24353256021409456,0.24353256021409456,True,3,0
27,DeepSeek-R1-Distill-Qwen-1.5B,AIME-90,True,3450,35,0.14840579710144927,0.201,True,3,0
28,DeepSeek-R1-Distill-Qwen-1.5B,AIME-90,False,11711,190,0.1257791819656733,0.236,True,3,0
29,DeepSeek-R1-Distill-Qwen-1.5B,AIME-90,False,16881,195,0.0958474024050708,0.0235,False,6,0
30,DeepSeek-R1-Distill-Qwen-1.5B,AIME-90,False,7155,92,0.2802236198462614,0.4045,True,14,0
31,DeepSeek-R1-Distill-Qwen-1.5B,AIME-90,False,6230,66,0.20754414125200643,0.3305,True,1,0
32,DeepSeek-R1-Distill-Qwen-1.5B,AIME-90,False,4839,36,0.12068609216780327,0.184,True,1,0
33,DeepSeek-R1-Distill-Qwen-1.5B,AIME-90,False,13876,183,0.08035456904006918,0.1565,True,6,0
34,DeepSeek-R1-Distill-Qwen-1.5B,AIME-90,False,7284,87,0.11120263591433278,0.197,True,1,0
35,DeepSeek-R1-Distill-Qwen-1.5B,AIME-90,True,6298,70,0.12257859637980312,0.1775,True,6,0
36,DeepSeek-R1-Distill-Qwen-1.5B,AIME-90,False,3393,66,0.21396993810786913,0.275,True,12,0
37,DeepSeek-R1-Distill-Qwen-1.5B,AIME-90,False,10298,52,0.2268401631384735,0.33,False,13,0
38,DeepSeek-R1-Distill-Qwen-1.5B,AIME-90,True,1370,5,0.2875912408759124,0.2875912408759124,True,0,0
39,DeepSeek-R1-Distill-Qwen-1.5B,AIME-90,False,9310,52,0.12309344790547798,0.2295,True,10,0
