idx,model,dataset,is_correct,word_count,wait_count,token_diversity,token_diversity_last_2k,has_boxed_answer,gibberish_count,repeated_char_count
0,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,AIME-90,False,7473,116,0.1670012043356082,0.2445,True,21,0
1,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,AIME-90,False,19097,150,0.06283709483164895,0.1025,True,6,0
2,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,AIME-90,False,14198,127,0.0982532751091703,0.0215,False,2,0
3,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,AIME-90,False,16027,265,0.09689898296624447,0.1525,True,6,0
4,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,AIME-90,True,1358,5,0.3011782032400589,0.3011782032400589,True,2,0
5,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,AIME-90,True,7624,85,0.18376180482686255,0.267,True,3,0
6,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,AIME-90,False,1750,18,0.21885714285714286,0.21885714285714286,True,4,0
7,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,AIME-90,False,10534,166,0.10717676096449592,0.258,True,3,0
8,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,AIME-90,False,6321,60,0.13700363866476822,0.2035,True,4,0
9,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,AIME-90,False,13249,250,0.096460110196996,0.192,True,5,0
10,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,AIME-90,True,954,3,0.3060796645702306,0.3060796645702306,True,1,0
11,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,AIME-90,False,9981,115,0.0739404869251578,0.1465,True,3,0
12,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,AIME-90,True,2345,15,0.26098081023454156,0.273,True,14,0
13,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,AIME-90,True,3575,13,0.19272727272727272,0.2345,True,2,0
14,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,AIME-90,False,9323,139,0.10189853051592834,0.2075,True,5,0
15,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,AIME-90,False,10664,150,0.09499249812453113,0.243,True,2,0
16,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,AIME-90,False,19467,141,0.044280063697539424,0.003,False,2,0
17,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,AIME-90,False,7323,83,0.16673494469479722,0.3235,True,3,0
18,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,AIME-90,False,4727,87,0.2599957689866723,0.2825,True,8,0
19,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,AIME-90,False,21738,253,0.05101665286594903,0.0045,False,0,0
20,DeepSeek-R1-Distill-Qwen-1.5B-kvquant_star-kv4-tp1,AIME-90,False,7788,136,0.17064714946070877,0.245,True,11,0
